"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
10,0.330167519049088,0.146108982365198,0.0953742951447722
11,0.401520624504024,0.171988664929877,0.111806886043508
12,0.485735736851379,0.199979466051496,0.129392692659936
13,0.587012087100581,0.230174846894356,0.148140050203119
14,0.71216560455969,0.262690069444963,0.168062582926716
15,0.873182689679387,0.297664595099286,0.189178976213377
16,1.09375293514391,0.335265407647436,0.211512889488232
17,1.43015097953097,0.375691431052615,0.23509298445539
18,2.07020236424188,0.419179306895832,0.259953053962822
19,4.77807102042711,0.466010918178018,0.2861322441498
20,165.546691435645,0.516523214518645,0.313675368015625
21,258.988965710914,0.571121136835238,0.342633313011298
22,329.670799315755,0.630294800648202,0.373063549211291
23,390.160418848675,0.694642648894888,0.405030748573133
24,444.636615940289,0.764903149439502,0.43860752984364
25,495.088241644106,0.841999004386238,0.473875348522955
26,542.638930617362,0.927100148072649,0.510925556677841
27,587.992852494573,1.02171577373959,0.549860664312901
28,631.623373860935,1.12783269470702,0.590795842450393
29,673.86530903929,1.24813051161762,0.633860718851839
30,714.96480629972,1.38632988948733,0.679201531232902
31,755.108417782708,1.54778414255821,0.726983720966374
32,794.441048491832,1.74054544611592,0.777395074227287
33,833.077563211266,1.97743550361677,0.83064954940648
34,871.110581715739,2.28047840982463,0.88699197277259
35,908.615881940554,2.69174275766635,0.946703843081793
36,945.656246672963,3.30559350122437,1.01011056706827
37,982.28426576463,4.40163048571328,1.07759056152267
38,1018.54441858315,7.59312825076384,1.14958681912992
39,1054.47464886413,180.035082213083,1.22662176832
40,1090.10757423476,329.810460981148,1.30931659923613
41,1125.47142802355,432.569657490212,1.39841673900528
42,1160.59080170906,517.104905485007,1.49482593902811
43,1195.48723674934,591.281627950449,1.59965265367538
44,1230.17970112323,658.608315609499,1.71427433704322
45,1264.68497657682,721.006196082214,1.84042849067058
46,1299.01797595684,779.659437658198,1.98034474690115
47,1333.19200526295,835.35712209363,2.13694188803495
48,1367.21898158946,888.655118325619,2.31413139174712
49,1401.10961557401,939.961695978616,2.51730328276429
50,1434.87356506501,989.586632204426,2.75414011152093
51,1468.51956528197,1037.7711858757,3.03605879553142
52,1502.05553964749,1084.70731815054,3.38094880347395
53,1535.48869462741,1130.5505218896,3.81886077648296
54,1568.82560126205,1175.42867514273,4.40534317296373
55,1602.07226556065,1219.44832512579,5.25862491830131
56,1635.23418952874,1262.69925707654,6.69619819067291
57,1668.31642427859,1305.25788605934,10.1028552445117
58,1701.32361641771,1347.18982126569,127.532716038317
59,1734.26004870582,1388.55183611442,358.98198421034
60,1767.12967580429,1429.39340361919,493.882374807185
61,1799.93615580766,1469.75790834706,600.773676921152
62,1832.68287813668,1509.68361416028,692.732503380442
63,1865.37298828147,1549.20444503869,775.089587934704
64,1898.00940980909,1588.35062107729,850.637587331623
65,1930.59486398757,1627.14918101732,921.053218421347
66,1963.13188732709,1665.62441496957,987.434930236217
67,1995.62284729548,1703.79822538741,1050.54760060209
68,2028.06995642963,1741.69043022036,1110.94846069596
69,2060.47528503315,1779.31901910166,1169.05788309628
70,2092.84077262536,1816.700371103,1225.20192906879
71,2125.16823828464,1853.84944082249,1279.63930287637
72,2157.45939001022,1890.77991821346,1332.57916930404
73,2189.71583321124,1927.50436650727,1384.1933524283
74,2221.93907841744,1964.03434175923,1434.62493768309
75,2254.13054829483,2000.38049689695,1483.99449229704
76,2286.29158403925,2036.55267263425,1532.40466230385
77,2318.42345121189,2072.55997720195,1579.94363481281
78,2350.5273450737,2108.41085651453,1626.68778950274
79,2382.6043954686,2144.11315612356,1672.70375947061
80,2414.65567130011,2179.6741760901,1718.05005431544
81,2446.6821846406,2215.10071972943,1762.77835371981
82,2478.68489450846,2250.39913703414,1806.93454954544
83,2510.66471034431,2285.57536346032,1850.5595935561
84,2542.62249521416,2320.63495466028,1893.69019318056
85,2574.55906876462,2355.58311766112,1936.35938722419
86,2606.47520995233,2390.4247389178,1978.59702582307
87,2638.37165956783,2425.16440960996,2020.43017334043
88,2670.24912257174,2459.80644850198,2061.88344874538
89,2702.10827025972,2494.35492264274,2102.97931488523
90,2733.94974227062,2528.81366614585,2143.73832568539
91,2765.77414845104,2563.18629726029,2184.17933848625
92,2797.58207058845,2597.47623391485,2224.31969731421
93,2829.37406402342,2631.68670789723,2264.17539178059
94,2861.15065915092,2665.82077780929,2303.76119543473
95,2892.9123628195,2699.88134092288,2343.09078670868
96,2924.65965963654,2733.87114404622,2382.17685504218
97,2956.39301318669,2767.79279349841,2421.03119433452
98,2988.11286717049,2801.648764278,2459.66478551322
99,3019.81964646911,2835.44140850269,2498.08786971917
100,3051.51375814072,2869.17296318828,2536.31001337028
