"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
18,0.860308740970467,0.022977108289277,0.247119048316078
18.5,13.0422077439668,0.0243873602275852,0.260844996234576
19,-24.5123320564315,0.0258110753969318,0.275065865323452
19.5,-63.2794090809157,0.0272647107093221,0.289801272001066
20,9.67516011841627,0.0287678340015648,0.30507238876659
20.5,113.784722233958,0.0303424717567652,0.32090210972129
21,16.5366952802516,0.0320120977331059,0.337315234925763
21.5,133.733356972731,0.033800204538464,0.354338676051883
22,197.157717382324,0.0357284240369579,0.372001686550748
22.5,245.736273436166,0.0378142199990701,0.390336120465445
23,287.027774408036,0.0400682957806579,0.409376725097007
23.5,323.831625757692,0.0424920906196351,0.429161474012622
24,357.536504993006,0.045076167237008,0.449731948397682
24.5,388.94883415787,0.0478010720670627,0.4711337765297
25,418.58501908058,0.0506436378707331,0.49341714322694
25.5,446.798614846457,0.0535941332244801,0.516637383540399
26,473.843789861971,0.056693834407123,0.540855677781734
26.5,499.910207920137,0.0601094294795522,0.566139868348826
27,525.143631182272,0.0642705289498482,0.592565423029808
27.5,549.658789919132,0.0701094289990601,0.620216575163458
28,573.547791089266,0.079422985858266,0.649187679044156
28.5,596.885818806718,0.0953868053585506,0.679584828525432
29,619.735120145598,0.123649974515083,0.711527799899708
29.5,642.147866157359,0.174219940998672,0.745152395691194
30,664.168252407013,0.266695460171461,0.780613291864402
30.5,685.834071765055,0.451144415729196,0.818087522222366
31,707.177912529016,0.961293641260016,0.857778781485056
31.5,728.228085166388,80.5267962051561,0.899922795598646
32,749.009348967264,142.833346786103,0.944794105769419
32.5,769.543488805161,185.927098927816,0.99271475677253
33,789.849777994829,221.403544163291,1.04406559447308
33.5,809.94535346977,252.592473019939,1.09930120012026
34,829.845522668233,281.045525619002,1.1589699813396
34.5,849.564016656877,307.65725310667,1.2237417013838
35,869.113200511893,333.00055363734,1.29444592891833
35.5,888.504249411615,357.438126007624,1.37212682362207
36,907.747296991699,381.138905843248,1.45812286919323
36.5,926.851561089091,404.035728465492,1.55418562477687
37,945.825450921085,425.734083472209,1.66266126747824
37.5,964.676658919792,445.370016110654,1.78677678191434
38,983.412239804706,461.376937987719,1.93110836299362
38.5,1002.03867897938,471.053747312998,2.10238510083681
39,1020.56195194849,474.2148689001,2.74881700454493
39.5,1038.98757614318,455.373476081947,2.7718279873979
40,1057.32065629738,415.351414933392,2.81691733051011
40.5,1075.56592432024,361.337752750874,3.32724082045556
41,1093.72777445184,307.391850987774,4.18896226515481
41.5,1111.81029435976,271.29421754571,5.76082031691422
42,1129.81729272928,267.135542057725,14.3963448669126
42.5,1147.75232381349,296.229132023422,172.929020611509
43,1165.61870933846,351.249317558386,264.948979667354
43.5,1183.41955809978,482.082236628635,335.584180581596
44,1201.1577835375,360.811151418401,393.698627885629
44.5,1218.83611953565,437.368334201805,444.640582488204
45,1236.45713465805,488.800895207731,490.836456181868
45.5,1254.02324500303,532.46722880432,533.513806647571
46,1271.53672583539,572.832904667299,573.528486402357
46.5,1288.99972213271,611.232483073198,611.383187432833
47,1306.41425816583,647.167500045377,646.955824758894
47.5,1323.7822462178,681.576267707626,680.524878935197
48,1341.10549453286,714.654063204527,719.335786652866
48.5,1358.38571457573,746.580704936841,755.517310621708
49,1375.62452767178,777.517771710441,787.608629013961
49.5,1392.82347109052,807.554873923983,804.356237870433
50,1409.9840036275,836.804782609799,817.912989592306
50.5,1427.10751073342,865.345621509228,831.297945512123
51,1444.19530923376,893.245291139972,844.600906646665
51.5,1461.24865167769,920.562089189807,857.824918815926
52,1478.26873035045,947.346437014706,870.973882294761
52.5,1495.25668098007,973.64227475199,884.051928576654
53,1512.21358616586,999.488157984221,897.062332027343
53.5,1529.14047855329,1024.91812667122,910.007741748306
54,1546.03834377752,1049.96240163918,922.890563267167
54.5,1562.90812319534,1074.64794905038,935.713163869706
55,1579.75071642354,1098.99894244426,948.477922142676
55.5,1596.56698369987,1123.03714429949,961.187198606222
56,1613.35774808126,1146.78222364191,973.843282901508
56.5,1630.12379749247,1170.2520223154,986.448345717567
57,1646.86588663726,1193.46277967135,999.004405710877
57.5,1663.58473878285,1216.42932330558,1011.51331243724
58,1680.28104742767,1239.16523186888,1023.97674251041
58.5,1696.95547786142,1261.68297475383,1036.39620522762
59,1713.60866862551,1283.99403251729,1048.77305418832
59.5,1730.24123288155,1306.10899202052,1061.1086630154
60,1746.85375969458,1328.03765141873,1073.40530573431
60.5,1763.44681523738,1349.78909041438,1085.66403871272
61,1780.02094392152,1371.37174155353,1097.88596612799
61.5,1796.57666946049,1392.79345125084,1110.07221769585
62,1813.11449586968,1414.06153368252,1122.22392558143
62.5,1829.63490840751,1435.18281853584,1134.34220389962
63,1846.13837446204,1456.16369344619,1146.42813296045
63.5,1862.62534438653,1477.01014182333,1158.48274905032
64,1879.09625228761,1497.72777666186,1170.50703943352
64.5,1895.55151676904,1518.32187084238,1182.5019415792
65,1911.9915416342,1538.79738435635,1194.46834535443
65.5,1928.41671654991,1559.15898882597,1206.40709696359
66,1944.82741767397,1579.41108963864,1218.31900362348
66.5,1961.22400824906,1599.55784597218,1230.20483823113
67,1977.60683916478,1619.60318895004,1242.06534353572
67.5,1993.97624949011,1639.55083813413,1253.9012355328
68,2010.33256697795,1659.40431653678,1265.71320595014
68.5,2026.67610854355,1679.1669643099,1277.50192379465
69,2043.00718071839,1698.84195125036,1289.26803599197
69.5,2059.32608008103,1718.43228824344,1301.01216718688
70,2075.63309366624,1737.94083775177,1312.73491879515
70.5,2091.92849935375,1757.37032344471,1324.43686741622
71,2108.21256623777,1776.72333905202,1336.11856273899
71.5,2124.48555497849,1796.00235651642,1347.78052510737
72,2140.74771813649,1815.20973351108,1359.42324296688
72.5,2156.99930049105,1834.3477203811,1371.04717049561
73,2173.24053934337,1853.41846656166,1382.65272584718
73.5,2189.47166480539,1872.42402651972,1394.24029061283
74,2205.69290007518,1891.36636526158,1405.81021137173
74.5,2221.90446169951,1910.2473634441,1417.36280457341
75,2238.1065598243,1929.06882212357,1428.89836653716
75.5,2254.29939843371,1947.83246717286,1440.41719113172
76,2270.48317557841,1966.53995339456,1451.91959882833
76.5,2286.65808359357,1985.19286835493,1463.40598246908
77,2302.82430930718,2003.79273596143,1474.87687752384
77.5,2318.9820342392,2022.34101980416,1486.33306823042
78,2335.13143479192,2040.83912627984,1497.77574647727
78.5,2351.27268243217,2059.28840751524,1509.20674864555
79,2367.40594386556,2077.69016410531,1520.62890860686
79.5,2383.53138120336,2096.04564768023,1532.04658555554
80,2399.64915212229,2114.35606331385,1543.46645822653
80.5,2415.75941001751,2132.62257178546,1554.89873070519
81,2431.86230414939,2150.84629170541,1566.35898404859
81.5,2447.95797978399,2169.02830151439,1577.87105775009
82,2464.04657832793,2187.16964136532,1589.47159991823
82.5,2480.1282374577,2205.27131489609,1601.21736019819
83,2496.20309124369,2223.33429090064,1613.19703609126
83.5,2512.27127026929,2241.3595049055,1625.55068981083
84,2528.33290174521,2259.34786065786,1638.50156404856
84.5,2544.38810961928,2277.3002315315,1652.40724082767
85,2560.43701468194,2295.21746185557,1667.83734618959
85.5,2576.47973466755,2313.10036817158,1685.67534055854
86,2592.51638435184,2330.94974042309,1707.20049910155
86.5,2608.5470756456,2348.76634308239,1733.99723822648
87,2624.57191768471,2366.5509162182,1767.38655511685
87.5,2640.59101691687,2384.30417650803,1807.20534898174
88,2656.60447718494,2402.02681819865,1850.74444468835
88.5,2672.61239980726,2419.71951401783,1893.59563897836
89,2688.61488365489,2437.38291604025,1932.2841654024
89.5,2704.61202522604,2455.01765651045,1965.82934824847
90,2720.6039187178,2472.62434862519,1995.03641228521
90.5,2736.59065609518,2490.20358727777,2021.14879115017
91,2752.57232715769,2507.75594976639,2045.13882786656
91.5,2768.54901960352,2525.28199646869,2067.60857065186
92,2784.52081909142,2542.78227148438,2088.91609449252
92.5,2800.48780930039,2560.25730324772,2109.30608311437
93,2816.45007198724,2577.70760511163,2128.98513752445
93.5,2832.40768704214,2595.13367590487,2148.14975533146
94,2848.36073254223,2612.53600046385,2166.98866695248
94.5,2864.3092848034,2629.91505014045,2185.6762460292
95,2880.25341843025,2647.27128328711,2204.36582997117
95.5,2896.19320636433,2664.60514572036,2223.18606920136
96,2912.12871993081,2681.91707116407,2242.24044056483
96.5,2928.06002888347,2699.20748167328,2261.60897643717
97,2943.98720144826,2716.47678803984,2281.35115460003
97.5,2959.91030436538,2733.72539018058,2301.50915049248
98,2975.82940292993,2750.95367750905,2322.11096268061
98.5,2991.74456103127,2768.16202929165,2343.17316783751
99,3007.65584119105,2785.35081498877,2364.70322227816
99.5,3023.56330460003,2802.52039458197,2386.70131814935
100,3039.46701115363,2819.67111888761,2409.16184603511
