"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
18,0.860308740970467,0.022977108289277,0.247119048316078
20,9.67516011841627,0.0287678340015648,0.30507238876659
22,197.157717382324,0.0357284240369579,0.372001686550748
24,357.536504993006,0.045076167237008,0.449731948397682
26,473.843789861971,0.056693834407123,0.540855677781734
28,573.547791089266,0.079422985858266,0.649187679044156
30,664.168252407013,0.266695460171461,0.780613291864402
32,749.009348967264,142.833346786103,0.944794105769419
34,829.845522668233,281.045525619002,1.1589699813396
36,907.747296991699,381.138905843248,1.45812286919323
38,983.412239804706,461.376937987719,1.93110836299362
40,1057.32065629738,415.351414933392,2.81691733051011
42,1129.81729272928,267.135542057725,14.3963448669126
44,1201.1577835375,360.811151418401,393.698627885629
46,1271.53672583539,572.832904667299,573.528486402357
48,1341.10549453286,714.654063204527,719.335786652866
50,1409.9840036275,836.804782609799,817.912989592306
52,1478.26873035045,947.346437014706,870.973882294761
54,1546.03834377752,1049.96240163918,922.890563267167
56,1613.35774808126,1146.78222364191,973.843282901508
58,1680.28104742767,1239.16523186888,1023.97674251041
60,1746.85375969458,1328.03765141873,1073.40530573431
62,1813.11449586968,1414.06153368252,1122.22392558143
64,1879.09625228761,1497.72777666186,1170.50703943352
66,1944.82741767397,1579.41108963864,1218.31900362348
68,2010.33256697795,1659.40431653678,1265.71320595014
70,2075.63309366624,1737.94083775177,1312.73491879515
72,2140.74771813649,1815.20973351108,1359.42324296688
74,2205.69290007518,1891.36636526158,1405.81021137173
76,2270.48317557841,1966.53995339456,1451.91959882833
78,2335.13143479192,2040.83912627984,1497.77574647727
80,2399.64915212229,2114.35606331385,1543.46645822653
82,2464.04657832793,2187.16964136532,1589.47159991823
84,2528.33290174521,2259.34786065786,1638.50156404856
86,2592.51638435184,2330.94974042309,1707.20049910155
88,2656.60447718494,2402.02681819865,1850.74444468835
90,2720.6039187178,2472.62434862519,1995.03641228521
92,2784.52081909142,2542.78227148438,2088.91609449252
94,2848.36073254223,2612.53600046385,2166.98866695248
96,2912.12871993081,2681.91707116407,2242.24044056483
98,2975.82940292993,2750.95367750905,2322.11096268061
100,3039.46701115363,2819.67111888761,2409.16184603511
