"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
12,0.0609300341254887,0.0451180186545375,0.110829116919232
12.5,0.0707767747557887,0.04533169633379,0.109443838904135
13,0.0869757133566686,0.0456271766151882,0.108204328464371
13.5,0.12181640805667,0.046003775341774,0.107100623534346
14,0.428034361293634,0.046461669787005,0.106124298389448
14.5,75.5374674368984,0.047001887590613,0.105268254947076
15,110.405106657557,0.0476263222038338,0.104526556759197
15.5,137.449810993221,0.0483377752938594,0.103894297364943
16,160.671690390328,0.0491400282480633,0.103367496763965
16.5,181.543687907668,0.0500379467907918,0.102943021360882
17,200.799913359262,0.0510376250047778,0.102618523952052
17.5,218.867254662022,0.0521465779759542,0.102392401294985
18,236.018897373636,0.053373996262343,0.102263767595024
18.5,252.441555535289,0.0547310809475951,0.102232442925635
19,268.269140674813,0.0562314860513517,0.102298956217254
19.5,283.601301361848,0.0578919069075813,0.10246456304619
20,298.514384019788,0.0597328709896696,0.102731279071339
20.5,313.068282461866,0.0617798153227153,0.103101930646363
21,327.310913135774,0.0640645785241074,0.103580224928569
21.5,341.281248070607,0.0666275071562768,0.104170842771161
22,355.011434294476,0.0695204966950321,0.104879558913667
22.5,368.528313942241,0.0728114977751343,0.105713395582535
23,381.854539224919,0.0765914003164006,0.106680817743038
23.5,395.009406335573,0.0809849349064667,0.10779198113728
24,408.009489909824,0.0861686920322304,0.109059048249957
24.5,420.869133111946,0.092402497976586,0.110496592969057
25,433.600831348117,0.100087691435139,0.112122122754106
25.5,446.215536358242,0.109884658371715,0.113956758831234
26,458.722899857822,0.122977234131794,0.116026132258933
26.5,471.131470692241,0.141765793839415,0.118361579895671
27,483.448855821422,0.172162525765237,0.121001764717965
27.5,495.681852861672,0.235186967557992,0.123994908844571
28,507.836560041611,0.598606458725903,0.127401931409682
28.5,519.918468061491,100.667191508773,0.131300957107112
29,531.932537332366,150.89958470395,0.135793961963438
29.5,543.883263312872,188.751929985594,0.141016864350964
30,555.774732087031,220.689096317785,0.14715538924191
30.5,567.610667887301,248.997667873575,0.154471059911578
31,579.394473928311,274.801334776353,0.163345959395607
31.5,591.129267653041,298.749864257893,0.174364704833704
32,602.817911286386,321.258402991419,0.188476733102242
32.5,614.463038427586,342.610877690195,0.207352176644788
33,626.067077282961,363.011345749518,0.234280652674342
33.5,637.632271036129,382.612117058471,0.276974115202802
34,649.160695768934,401.530320404899,0.36012864357446
34.5,660.654276278146,419.858232237963,0.66692295592172
35,672.114800077489,437.670015922527,95.5045371387825
35.5,683.543929829017,455.026286046202,156.887837509873
36,694.943214410331,471.977297615369,200.814320795924
36.5,706.314098793139,488.5652342123,237.189351775793
37,717.657932882794,504.825887490291,269.092862956804
37.5,728.975979446943,520.789914560071,297.964641253222
38,740.269421243305,536.48379585394,324.61463624429
38.5,751.539367441448,551.930576120922,349.551386151061
39,762.786859420527,567.150445561733,373.118553700648
39.5,774.01287601406,582.161201226682,395.561009355601
40,785.218338263618,596.9786174306,417.060357844347
