"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
13,4.32977902475699,0.0183314029801668,0.947723079285104
13.5,45.5070014236685,0.0854645970945416,1.012669579046
14,17.4222716807597,0.127125892656428,1.08497285502367
14.5,220.439704000837,0.14060765633547,1.16567512564833
15,334.428737384279,0.124996494485801,1.25579276268445
15.5,421.394610709749,0.0819101202153302,1.35618832157011
16,495.452178631359,0.0163647169216266,1.46734410666257
16.5,561.719288399352,-0.0622472863566194,1.58897910752239
17,622.68717670581,-0.13912234719228,1.71942877807407
17.5,679.78279259785,-0.193061190205845,1.85469349989641
18,733.910255185059,-0.195726174238672,1.98709062658775
18.5,785.683156898695,-0.111459938838812,2.10359481998434
19,835.539248803367,0.101828458117848,2.1843608046036
19.5,883.802942580368,0.489938561490765,2.20273442190313
20,930.721973461018,1.09668240172959,2.12911539370982
20.5,976.490169161576,1.95362531567907,1.94118887505927
21,1021.26225096467,3.06316840154259,1.63977624539504
21.5,1065.1638223583,4.37257863336379,1.26161713559253
22,1108.29832420168,5.73734455596204,0.87450713086048
22.5,1150.75200796343,6.87685734389327,0.550054752233101
23,1192.59757388266,7.34229959308008,0.332794865337127
23.5,1233.89688576167,6.56836551364429,0.233505069468614
24,1274.70303228588,4.20651832588672,0.267084435574026
24.5,1315.06191642929,1.05895773618737,0.80450478935967
25,1355.01349789259,0.0874954601367023,3.97571439731799
25.5,1394.59277632102,3.68394663404382,0.123776612752435
26,1433.8305780514,7.50818753140024,0.0645712384022475
26.5,1472.75419199924,7.47866809468217,0.0631536097427469
27,1511.3878883332,10.8879924471694,0.0663714528207463
27.5,1549.75334509366,17.8553066883334,0.0690897092137796
28,1587.87000179659,33.8957698520776,0.0713279249039497
28.5,1625.75535459824,252.293576859501,0.0738097963142563
29,1663.42520429369,436.177010690852,0.0771349389761642
29.5,1700.89386595221,562.915645701035,0.0814956032548136
30,1738.17434712453,667.018808965318,0.0860637440637366
30.5,1775.27850013083,758.428109799241,0.0847941568389417
31,1812.2171528391,841.259028666282,0.162462539000594
31.5,1849.00022148882,917.812021986259,0.145529649425159
32,1885.63680844541,989.543886721432,0.15690154504084
32.5,1922.13528724216,1057.43688256239,0.171323261889331
33,1958.50337684567,1122.18626447355,0.17997534545617
33.5,1994.74820674475,1184.30611944145,0.134068536556322
34,2030.87637419109,1244.19084263182,-0.946574219698081
34.5,2066.89399470072,1302.15126040335,-0.141519531912302
35,2102.80674674625,1358.43621875723,0.12122596679535
35.5,2138.619911423,1413.24591947229,0.17634670038518
36,2174.33840775168,1466.74061997958,0.181075962079055
36.5,2209.96682418041,1519.0467428639,0.146284933431948
37,2245.50944676553,1570.30611771309,0.143497100237034
37.5,2280.97028444217,1620.60888658444,0.148983337302364
38,2316.35309173645,1670.04148516407,0.173068016537241
38.5,2351.6613892234,1718.67899238066,0.214158412357132
39,2386.89848199265,1766.58707538202,0.242613370855059
39.5,2422.06747634954,1813.82352892493,0.197265305839938
40,2457.17129494929,1860.43950770889,0.0839702752075451
40.5,2492.21269053657,1906.48052312596,5.8629596321511E-05
41,2527.19425844113,1951.9872570623,0.253505983517141
41.5,2562.11844796166,1996.99623205071,4.71269831058231
42,2596.98757275362,2041.54036748757,38.6970818111573
42.5,2631.80382032328,2085.64944463934,201.399069566614
43,2666.56926071841,2129.35049800352,412.907416553841
43.5,2701.28585449464,2172.66814673574,593.628412761977
44,2735.95546002898,2215.62487694084,751.603834242357
44.5,2770.57984024265,2258.24128340597,885.004248652945
45,2805.16066878944,2300.53627764194,996.847336337424
45.5,2839.69953575927,2342.52726776957,1093.15796738259
46,2874.19795294148,2384.23031474686,1179.7545177788
46.5,2908.65735868762,2425.66026861011,1260.65471379276
47,2943.07912240957,2466.83088774903,1337.85343029489
47.5,2977.46454874486,2507.75494371228,1412.02159956123
48,3011.81488141818,2548.44431361855,1483.36713227612
48.5,3046.13130682498,2588.91006190673,1552.08848812932
49,3080.41495736049,2629.16251288021,1618.44880834049
49.5,3114.66691451558,2669.21131527172,1682.73694428366
50,3148.88821175827,2709.06549986838,1745.21697952524
50.5,3183.07983721858,2748.73353107977,1806.11004706516
51,3217.2427361922,2788.22335320316,1865.59527401365
51.5,3251.37781347743,2827.54243203186,1923.81656863631
52,3285.48593555828,2866.69779236214,1980.89043889882
52.5,3319.56793264576,2905.69605187785,2036.91284914798
53,3353.62460058788,2944.54345182737,2091.96458781023
53.5,3387.65670265855,2983.24588485283,2146.11523470466
54,3421.6649712341,3021.80892028503,2199.4260058553
54.5,3455.65010936582,3060.23782717773,2251.9517636556
55,3489.61279225606,3098.5375953209,2303.74243066887
55.5,3523.55366864479,3136.71295444319,2354.84398647008
56,3557.47336211293,3174.76839178867,2405.29917620773
56.5,3591.3724723084,3212.70816823118,2455.14802076501
57,3625.25157610012,3250.53633307055,2504.42819039503
57.5,3659.11122866507,3288.25673763853,2553.1752841154
58,3692.95196451277,3325.87304782816,2601.423043677
58.5,3726.77429845156,3363.38875564743,2649.20352174427
59,3760.57872650044,3400.8071898876,2696.54721769699
59.5,3794.36572675012,3438.13152598641,2743.48319024276
60,3828.13576017651,3475.36479515843,2790.03915316577
