"L [mm]","Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
16,10,1.11185807092484,0.707380823379046,0.76150970744658
16,10.5,1.23660067394838,0.728091249772811,0.766296382000333
16,11,1.3877488317193,0.750674749033606,0.772535262450654
16,11.5,1.5767071555216,0.775128362671445,0.780134708253022
16,12,1.82378242918903,0.801467214736046,0.789018802177446
16,12.5,2.16977395301782,0.829723734258294,0.799124743980194
16,13,2.71389660933426,0.859947448798674,0.81040081262853
16,13.5,3.80129783268033,0.892205297535695,0.822804761584553
16,14,9.35596739442026,0.926582447603454,0.836302548381609
16,14.5,220.247552224849,0.963183628582104,0.850867325637266
16,15,334.794409763057,1.00213503069382,0.866478639240388
16,15.5,421.698559649639,1.04358684542071,0.883121792926898
16,16,495.709932936658,1.08771656628291,0.900787348425399
16,16.5,561.944809984575,1.13473321638014,0.919470737786939
16,17,622.888544060309,1.18488273336496,0.939171970122037
16,17.5,679.965179813645,1.23845482912193,0.959895419337839
16,18,734.077229260325,1.29579176188303,0.981649682852983
16,18.5,785.837299394963,1.35729962914308,1.0044475039725
16,19,835.68249797994,1.42346303672579,1.028305752868
16,19.5,883.936797735464,1.49486436380691,1.0532454629673
16,20,930.84762335107,1.57220939228282,1.07929192120849
16,20.5,976.608575917974,1.65636191361238,1.10647481215735
16,21,1021.37420682523,1.74839125770114,1.134828417371
16,21.5,1065.26998921383,1.84963884481713,1.16439187287058
16,22,1108.39926193174,1.96181345898661,1.19520948906868
16,22.5,1150.84819523945,2.08713115082177,1.2273311391201
16,23,1192.6894237697,2.22852681916154,1.26081272351166
16,23.5,1233.98475763862,2.38998543069786,1.29571672078666
16,24,1274.78724110153,2.57708220176244,1.3321128368182
16,24.5,1315.14273999277,2.79790819880058,1.3700787680123
16,25,1355.09118268832,3.06475588731135,1.40970109747198
16,25.5,1394.66754219918,3.39743423663042,1.45107634764739
16,26,1433.90262204985,3.83048098553667,1.49431221856613
16,26.5,1472.82369148645,4.43119242066774,1.5395290478153
16,27,1511.45500361456,5.35503320118764,1.58686153730859
16,27.5,1549.81822158943,7.08771939183727,1.63646080336161
16,28,1587.93277187489,12.9472623061747,1.68849682125967
16,28.5,1625.81613912773,259.897806397952,1.74316135472748
16,29,1663.48411396686,437.440004853358,1.80067148589367
16,29.5,1700.95100241952,563.368734418697,1.86127389474926
16,30,1738.22980397145,667.517447641033,1.92525008184491
16,30.5,1775.33236372375,758.901969929749,1.99292278859714
16,31,1812.26950306095,841.688944244026,2.06466395250574
16,31.5,1849.05113238158,918.206394026408,2.14090464971385
16,32,1885.68634877352,989.90904960121,2.22214763893536
16,32.5,1922.18352098837,1057.77639495917,2.30898335130111
16,33,1958.55036364907,1122.50424487235,2.40211050434607
16,33.5,1994.79400228895,1184.60730882702,2.50236300999927
16,34,2030.92103054932,1244.47857809027,2.61074558447546
16,34.5,2066.93756064358,1302.42585239282,2.72848159915489
16,35,2102.84926801689,1358.695311839,2.85707848587991
16,35.5,2138.66143098381,1413.48733684602,2.99841886615986
16,36,2174.37896600616,1466.96747759397,3.15489030544108
16,36.5,2210.00645917289,1519.2742730123,3.32957469531666
16,37,2245.54819436184,1570.52495755949,3.52653266762446
16,37.5,2281.00817849288,1620.8197127135,3.75124517691745
16,38,2316.39016422518,1670.24489169502,4.01132658850943
16,38.5,2351.69767040144,1718.8755045024,4.3177318553037
16,39,2386.93400050169,1766.77716014396,4.68692173633847
16,39.5,2422.10225933354,1814.00760393614,5.14503878691304
16,40,2457.20536815679,1860.61794822203,5.73675723727293
16,40.5,2492.2460784143,1906.65366785918,6.54659870653237
16,41,2527.22698421995,1952.15541302443,7.76077376806003
16,41.5,2562.15053373534,1997.15967857142,9.91031841476653
16,42,2597.01903955141,2041.69935960751,15.6987642931436
16,42.5,2631.8346881768,2085.80421598077,240.191912393684
16,43,2666.59954872318,2129.50126321616,491.394758380482
16,43.5,2701.3155808671,2172.81510359224,654.031603748242
16,44,2735.98464215909,2215.76820814179,785.005497932045
16,44.5,2770.60849474271,2258.38115814246,898.261575580255
16,45,2805.18881153928,2300.67285295438,999.836044929911
16,45.5,2839.72718194821,2342.66068973462,1092.98958783136
16,46,2874.22511710734,2384.36071951836,1179.7182875477
16,46.5,2908.68405475303,2425.78778333552,1261.34792859073
16,47,2943.10536371573,2466.95563137924,1338.81141984056
16,47.5,2977.49034808306,2507.87702771959,1412.7941517182
16,48,3011.84025105923,2548.56384263534,1483.81682356111
16,48.5,3046.15625854663,2589.02713429534,1552.28576131933
16,49,3080.43950247314,2629.27722124274,1618.52507238244
16,49.5,3114.6910638863,2669.32374690778,1682.79805522182
16,50,3148.91197583332,2709.17573718677,1745.32194815247
