"portsize [mm]","Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []"
3.39,13,4.32978453300821,0.0183232020622313,0.947779482337803
3.39,13.5,54.737312866513,0.0194653196190807,1.02275670626935
3.39,14,-17.3571619683661,0.0206393532186591,1.10184620238512
3.39,14.5,219.69495744102,0.0218458934034576,1.18533039493276
3.39,15,334.411274297466,0.0230856007790352,1.27352891875425
3.39,15.5,421.39475095944,0.0243592089727941,1.36680498747203
3.39,16,495.452339922834,0.025667528401181,1.46557308345225
3.39,16.5,561.719471046365,0.0270114496941761,1.5703083557326
3.39,17,622.687358772526,0.0283919428619099,1.68155823376152
3.39,17.5,679.782944562424,0.0298100258668028,1.79995693313538
3.39,18,733.910379056607,0.0312659350176223,1.92624376666715
3.39,18.5,785.683262975231,0.0327652712445112,2.0612865135344
3.39,19,835.539344698233,0.0343037103671151,2.20611159283075
3.39,19.5,883.803032194573,0.0358854694144935,2.36194351801551
3.39,20,930.722058510026,0.0375119880767158,2.53025720961931
3.39,20.5,976.490250434591,0.0391850113966769,2.71284843885669
3.39,21,1021.26232891926,0.040906449068953,2.9119303482138
3.39,21.5,1065.16389730982,0.0426783674695969,3.13026832483717
3.39,22,1108.29839636863,0.0445028516827783,3.37137272839157
3.39,22.5,1150.75207749994,0.0463815724626497,3.63978144970262
3.39,23,1192.59764092765,0.0483182260027185,3.94148665659472
3.39,23.5,1233.8969504833,0.0503156381928306,4.28460203393456
3.39,24,1274.70309488564,0.0523765785286783,4.6804495205661
3.39,24.5,1315.06197707417,0.0545044950741147,5.14541735012672
3.39,25,1355.01355666266,-4.63826996825185,5.69754959965008
3.39,25.5,1394.59283336338,6.2148848402796,6.16509210450135
3.39,26,1433.83063347436,7.28911245144435,2.88997996483186
3.39,26.5,1472.75424590041,8.52734848627112,-0.140540177910179
3.39,27,1511.38794080081,10.4089787592592,0.0541349335456756
3.39,27.5,1549.7533962078,13.8955039966642,0.0483784087338186
3.39,28,1587.87005163023,24.9504394204621,0.107893991801921
3.39,28.5,1625.75540321812,259.204608326253,0.14647938014449
3.39,29,1663.42525176104,436.713361240881,0.10225807696347
3.39,29.5,1700.89391232335,562.757994896294,0.0321922485177192
3.39,30,1738.1743924514,666.988069181314,0.0153781047770676
3.39,30.5,1775.27854446149,758.430834301705,0.0677324405061708
3.39,31,1812.21719621808,841.262735611728,0.154864721797314
3.39,31.5,1849.00026395751,917.815585750523,0.231234275140377
3.39,32,1885.63685004235,989.547208069154,0.265125710634863
3.39,32.5,1922.1353280033,1057.4388313678,0.248606497959898
3.39,33,1958.50341680462,1122.18741817752,0.193212610216556
3.39,33.5,1994.74824593298,1184.30846680499,0.12082470695835
3.39,34,2030.8764126381,1244.19553056794,0.0548750131743006
3.39,34.5,2066.89403243426,1302.1568218827,0.0139113215832285
3.39,35,2102.80678379242,1358.43883163816,0.00774428446639837
3.39,35.5,2138.61994780638,1413.24217940501,0.0358876444116855
