"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []"
19,1.2890634644676,0.421616863993642
19.5,1.52959295929658,0.435461582715269
20,1.91436282468375,0.449935129458409
20.5,2.71207913574375,0.4650580954346
21,8.16213472093526,0.480853470314454
21.5,133.892571581024,0.497346819534756
22,197.365571093384,0.514566494740258
22.5,245.898952333519,0.532543881358583
23,287.164841927672,0.551313688335234
23.5,323.951682662527,0.570914286230312
24,357.644044038142,0.591388101334072
24.5,389.046631925825,0.612782075140049
25,418.674950356518,0.635148200755759
25.5,446.882017214681,0.658544150348111
26,473.921657801167,0.683034011214032
26.5,499.98330547355,0.708689152166557
27,525.212561069325,0.735589247377758
27.5,549.724037948123,0.763823491655546
28,573.609755906171,0.793492050130292
28.5,596.944832520842,0.824707797008692
29,619.791463045651,0.857598413421748
29.5,642.201777464582,0.892308934943839
30,664.219938303171,0.929004866986582
30.5,685.883711496179,0.967876023670547
31,707.225663122324,1.00914129764384
31.5,728.27408512851,1.0530546400168
32,749.053721221479,1.09991263149778
32.5,769.586343051455,1.15006417149238
33,789.891212626314,1.20392302455008
33.5,809.985457143683,1.26198427906219
34,829.884375605209,1.32484625032943
34.5,849.60169172384,1.39324009868402
35,869.149764131574,1.46807060287914
35.5,888.539762331415,1.55047343340291
36,907.781814937813,1.64189746577928
36.5,926.885135326289,1.74422622594329
37,945.858128734267,1.85996259669795
37.5,964.708484030459,1.99251991622843
38,983.443252732734,2.14670058036862
38.5,1002.06891735875,2.32952426036772
39,1020.59145080392,2.55175480216692
39.5,1039.01636813355,2.83095122481832
40,1057.3487719305,3.19824774543596
40.5,1075.5933921433,3.71582309822951
41,1093.75462122058,4.53320186327139
41.5,1111.83654518935,6.15670316526923
42,1129.84297122925,13.4220135734925
42.5,1147.77745220869,172.74857196961
43,1165.64330857785,266.706697177175
43.5,1183.44364795449,336.058572329099
44,1201.18138268938,393.988962058624
44.5,1218.85924565754,444.977132224998
45,1236.47980448654,491.188666060659
45.5,1254.04547440474,533.864991617356
46,1271.55852986725,573.795262768884
46.5,1289.02111509709,611.517547862902
47,1306.43525366091,647.417858196317
47.5,1323.80285718373,681.784038331658
48,1341.1257332942,714.837364353218
48.5,1358.40559288031,746.752174663395
49,1375.64405672664,777.668643355694
49.5,1392.84266159498,807.701412638499
50,1410.00286580367,836.945614308247
50.5,1427.12605435445,865.481184223917
51,1444.21354365002,893.376025803077
51.5,1461.26658584098,920.688376523404
52,1478.2863728365,947.468609599523
52.5,1495.2740400095,973.760627124641
53,1512.23066962359,999.602952328316
53.5,1529.15729400671,1025.02959662771
54,1546.05489849339,1050.07075565214
54.5,1562.92442415554,1074.75337367251
55,1579.76677033984,1099.10160556362
55.5,1596.58279702774,1123.13719810872
56,1613.37332703275,1146.87980717946
56.5,1630.13914804837,1170.3472634669
57,1646.88101455837,1193.55579658423
57.5,1663.59964962071,1216.5202252231
58,1680.29574653454,1239.25411942673
58.5,1696.9699703997,1261.76993980492
59,1713.62295957663,1284.079157561
59.5,1730.25532705427,1306.1923584566
60,1746.86766173289,1328.11933325701
60.5,1763.4605296279,1349.86915673782
61,1780.03447500054,1371.45025696635
61.5,1796.59002142057,1392.87047627643
62,1813.12767276589,1414.13712511739
62.5,1829.64791416336,1435.25702976513
63,1846.15121287508,1456.23657472555
63.5,1862.63801913368,1477.08174053141
64,1879.10876693011,1497.79813752696
64.5,1895.5638747573,1518.39103614655
65,1912.00374631228,1538.86539411949
65.5,1928.42877115981,1559.22588097233
66,1944.83932535974,1579.47690014783
66.5,1961.23577206065,1599.62260901633
67,1977.61846206172,1619.66693701861
67.5,1993.98773434503,1639.61360214789
68,2010.3439165799,1659.4661259519
68.5,2026.68732560121,1679.22784721328
69,2043.01826786309,1698.90193444711
69.5,2059.33703986962,1718.49139733721
70,2075.64392858384,1737.9990972187
70.5,2091.93921181639,1757.4277567016
71,2108.22315859491,1776.77996851927
71.5,2124.49602951542,1796.05820367617
72,2140.75807707657,1815.26481896105
72.5,2157.00954599794,1834.40206388455
73,2173.25067352311,1853.47208709368
73.5,2189.48168970842,1872.47694231031
74,2205.70281769823,1891.41859383569
74.5,2221.91427398744,1910.29892165898
75,2238.11626867184,1929.11972620356
75.5,2254.3090056872,1947.8827327419
76,2270.49268303734,1966.58959550653
76.5,2286.66749301217,1985.24190152212
77,2302.83362239591,2003.84117418113
77.5,2318.99125266613,2022.38887658362
78,2335.14056018415,2040.88641465967
78.5,2351.28171637709,2059.33514009142
79,2367.41488791214,2077.73635304988
79.5,2383.54023686337,2096.09130476071
80,2399.65792087141,2114.40119991156
80.5,2415.76809329653,2132.66719891282
81,2431.87090336522,2150.89042002219
81.5,2447.96649631071,2169.07194134308
82,2464.05501350781,2187.21280270567
82.5,2480.13659260212,2205.31400743879
