"Freq [GHz]","dB(S(2:1,1:1)) []"
19,-39.3060858410595
19.5,-34.4305814124325
20,-28.5768883586181
20.5,-20.940930349162
21,-7.22108370112622
21.5,-0.456324541545686
22,-0.320798770210911
22.5,-0.266675573170082
23,-0.236377296064363
23.5,-0.216780085790197
24,-0.203040024293998
24.5,-0.192903274626994
25,-0.185162761385558
25.5,-0.179107197051571
26,-0.17428727612059
26.5,-0.170403741026447
27,-0.167248768296903
27.5,-0.164673065555401
28,-0.162566344412561
28.5,-0.160845190715892
29,-0.159445237106993
29.5,-0.158315945815492
30,-0.157417033154244
30.5,-0.156715959130456
31,-0.156186127062393
31.5,-0.155805567900146
32,-0.155555962515922
32.5,-0.155421904146571
33,-0.155390334407356
33.5,-0.155450106701456
34,-0.155591644448818
34.5,-0.155806670795332
35,-0.156087992838872
35.5,-0.156429327878492
36,-0.156825162365273
36.5,-0.15727063652463
37,-0.157761449289382
37.5,-0.158293779428584
38,-0.158864219698266
38.5,-0.159469721563596
39,-0.160107548597217
39.5,-0.160775237073571
40,-0.161470562586002
40.5,-0.16219151169796
41,-0.162936257786018
41.5,-0.163703140357349
42,-0.16449064925637
42.5,-0.165297448325647
43,-0.166122193494106
43.5,-0.1669637247433
44,-0.167820993963409
44.5,-0.168693042631889
45,-0.169578974095104
45.5,-0.170477941265944
46,-0.17138914825922
46.5,-0.172311858909722
47,-0.173245403785171
47.5,-0.174189179889147
48,-0.175142641787318
48.5,-0.176105287075275
49,-0.177076641283208
49.5,-0.178056246942079
50,-0.179043659221543
50.5,-0.180038447561551
51,-0.18104020046674
51.5,-0.182048529952911
52,-0.183063073163009
52.5,-0.184083490736272
53,-0.185109463572518
53.5,-0.18614069068931
54,-0.187176890412681
54.5,-0.188217805360994
55,-0.189263209354928
55.5,-0.190312912598024
56,-0.191366761128911
56.5,-0.192424628013665
57,-0.193486396655152
57.5,-0.194551939937626
58,-0.195621101403289
58.5,-0.196693685164696
59,-0.197769459325482
59.5,-0.198848173705302
60,-0.199929587850023
60.5,-0.201013501297034
61,-0.202099776407044
61.5,-0.203188345691466
62,-0.20427920074558
62.5,-0.205372372193356
63,-0.206468107749624
63.5,-0.207567201403193
64,-0.208665546018893
64.5,-0.20976752469827
65,-0.210871245471142
65.5,-0.211976538786463
66,-0.213083764721745
66.5,-0.214193021851353
67,-0.215303961628373
67.5,-0.216416093020511
68,-0.217529182191707
68.5,-0.21864340930972
69,-0.219759189897026
69.5,-0.220876807668153
70,-0.221996110216012
70.5,-0.223116461937988
71,-0.224236990210158
71.5,-0.225356998395198
72,-0.226476334633298
72.5,-0.227595530629826
73,-0.228715636726633
73.5,-0.229837819249496
74,-0.230962889120854
74.5,-0.232090955591389
75,-0.233221341710172
75.5,-0.234352789414804
76,-0.235483870319215
76.5,-0.236613447875269
77,-0.23774103077095
77.5,-0.238866911411837
78,-0.239992069539105
78.5,-0.241117902588026
79,-0.242245890791603
79.5,-0.243377303650631
80,-0.244513013451148
80.5,-0.245653424398832
81,-0.246798479817689
81.5,-0.247947693842712
82,-0.24910017172477
82.5,-0.250254622197499
83,-0.251409407363827
83.5,-0.252562730519007
84,-0.253713959074207
84.5,-0.254875683755406
85,-0.256000649192862
85.5,-0.257130062183727
86,-0.258259319113468
86.5,-0.259387594320407
87,-0.26051237903503
87.5,-0.261635486185326
88,-0.262760968425311
88.5,-0.263890633356808
89,-0.265022678364298
89.5,-0.266153823538656
90,-0.267282222868198
90.5,-0.268408739283036
91,-0.26953614893496
91.5,-0.270667428265531
92,-0.271804529240039
92.5,-0.272948235307937
93,-0.274098683495497
93.5,-0.27525568908381
94,-0.276418329592119
94.5,-0.277584000738913
95,-0.278747775828827
95.5,-0.27990294800866
96,-0.281043053448573
96.5,-0.282164780716357
97,-0.283270469002707
97.5,-0.284368798042857
98,-0.285472886444653
98.5,-0.286596101543684
99,-0.287746969403982
99.5,-0.288925165520125
100,-0.290120365084308
