"L [mm]","portsize [mm]","Freq [GHz]","dB(S(1:1,2:1)) []","dB(S(1:2,2:2)) []","dB(S(1:3,2:3)) []"
5.15,3.39,13,-29.1127062649714,-42.2958035957192,-50.9780988640257
5.15,3.39,13.5,-24.745679249729,-51.5418441280698,-49.1167092491582
5.15,3.39,14,-19.5575966263805,-43.217766123211,-47.5243523406599
5.15,3.39,14.5,-14.314502687257,-39.3910805526881,-47.5034981338334
5.15,3.39,15,-9.38293778368229,-37.4086236291779,-49.440754221499
5.15,3.39,15.5,-5.27084209855179,-36.1531898160289,-51.9782391391343
5.15,3.39,16,-2.66572139327924,-35.2455649556255,-54.1621709148414
5.15,3.39,16.5,-1.54736554386838,-34.5250438952737,-55.5716295192435
5.15,3.39,17,-1.17518532959096,-33.9129393956521,-55.9914062691734
5.15,3.39,17.5,-1.02100069494687,-33.3664605523302,-55.4941855759593
5.15,3.39,18,-0.901418858380894,-32.8603187216859,-54.3881874366232
5.15,3.39,18.5,-0.779474505914837,-32.3784696305423,-52.9722440186953
5.15,3.39,19,-0.658731997208747,-31.9100560471518,-51.4239437660332
5.15,3.39,19.5,-0.548579795278035,-31.4472695180055,-49.8249964387915
5.15,3.39,20,-0.455240464283777,-30.9841660734077,-48.2066012231388
5.15,3.39,20.5,-0.380743426286594,-30.5160018027263,-46.5777898115494
5.15,3.39,21,-0.324061157797402,-30.0388951426723,-44.9405813258409
5.15,3.39,21.5,-0.282520591909707,-29.5497550822665,-43.3007065898482
5.15,3.39,22,-0.252907432290598,-29.0465205387884,-41.6827814727053
5.15,3.39,22.5,-0.232156666624018,-28.5288966669108,-40.1652074242297
5.15,3.39,23,-0.217694635835715,-28.0000388532728,-38.9700793195422
5.15,3.39,23.5,-0.207542193261931,-27.4702294663931,-38.6675279581683
5.15,3.39,24,-0.20027926287686,-26.9650784988798,-40.4752917047238
5.15,3.39,24.5,-0.194944883956057,-26.5449274976954,-46.5614034083478
5.15,3.39,25,-0.190920327738546,-26.3555193741548,-44.3447053922041
5.15,3.39,25.5,-0.187821996706855,-26.7838513947992,-35.9357167316692
5.15,3.39,26,-0.185416313981768,-29.1197945495416,-29.6210234100989
5.15,3.39,26.5,-0.183559561321716,-44.8840254427493,-22.5694109791448
5.15,3.39,27,-0.182160214218534,-26.2525807861447,-25.7149475471684
5.15,3.39,27.5,-0.181158577649873,-20.2617303968811,-28.5832896050394
5.15,3.39,28,-0.18051757340665,-20.9220373716627,-20.6716538001796
5.15,3.39,28.5,-0.180218680451253,-28.65312392508,-19.8915457706665
5.15,3.39,29,-0.180257533121785,-6.77632343774797,-21.5073319246852
5.15,3.39,29.5,-0.180632903442418,-2.96708831132953,-22.8117399230634
5.15,3.39,30,-0.181313460257882,-5.98102003633703,-23.605529834968
5.15,3.39,30.5,-0.182093439185055,-3.35891897572348,-24.3766294586067
5.15,3.39,31,-0.181180190173503,-7.06857641091241,-30.6372051362542
5.15,3.39,31.5,-0.207210883751581,-30.7978785488647,-40.0583757852241
5.15,3.39,32,-0.207037665336096,-20.5463268861292,-33.3015557275821
5.15,3.39,32.5,-0.165695978746891,-18.2939782563684,-31.4689228384161
5.15,3.39,33,-0.185202256505519,-12.9151982109444,-27.6685288100078
5.15,3.39,33.5,-0.189786432685842,0.892863346293362,-19.7016486933066
5.15,3.39,34,-0.192317530719251,-4.29301405869271,-13.8676872686135
5.15,3.39,34.5,-0.193898570498694,-3.61888860806462,-14.8236030238829
5.15,3.39,35,-0.194897991409845,-0.642985983479169,-15.4379170386091
5.15,3.39,35.5,-0.195714957578651,5.26167357733114,-15.1334395947132
5.15,3.39,36,-0.196987166918225,7.22898286222378,-14.348949428494
5.15,3.39,36.5,-0.199705603459413,-0.315576411862775,-13.6389062495721
5.15,3.39,37,-0.211243634910952,-7.70085979168011,-17.1320299307522
5.15,3.39,37.5,-0.23629230035178,5.86860800850165,-14.3232825027394
5.15,3.39,38,-0.191647542567178,-8.57422773580971,-20.1903963397903
5.15,3.39,38.5,-0.209598289021292,-12.849888909079,-30.7478760994788
5.15,3.39,39,-0.235120708960652,-25.7629609678661,-30.5045516730235
5.15,3.39,39.5,-0.206587385190285,-6.49902976249407,-12.9130244268304
5.15,3.39,40,-0.203627513181967,-5.34747092499699,-29.9894997613811
5.15,3.39,40.5,-0.214920234309248,1.24455097588361,-24.9166481315969
5.15,3.39,41,-0.208495335633099,-8.76364358764881,-17.2218121657369
5.15,3.39,41.5,-0.210654574004496,-22.7340605470579,-31.0608923523566
5.15,3.39,42,-0.212768397851116,-10.5990770972621,-44.4928296761236
5.15,3.39,42.5,-0.230177225318703,-15.1864332104157,-45.5977848643283
5.15,3.39,43,-0.694385041414811,-2.89312330585305,-33.0803507966897
5.15,3.39,43.5,-0.134171819574769,-2.61853763630451,-34.9881840106281
5.15,3.39,44,-0.597815672829054,-6.05644300849276,-36.6279805331882
5.15,3.39,44.5,-0.241142031022044,-3.81608958864503,-17.0692142354445
5.15,3.39,45,-0.540044809870282,13.6700618559509,-7.01358854022324
5.15,3.39,45.5,-0.186455034446629,-12.7342448434176,-18.0464039294736
5.15,3.39,46,-0.324656198648929,-10.3414022459061,-27.0464612826443
5.15,3.39,46.5,-0.396649906238121,-1.6867089461561,-32.9104152660119
5.15,3.39,47,-0.0799261065371763,-4.54945013879966,-28.5631390143868
5.15,3.39,47.5,-0.675703416878003,-6.20387650630247,-23.4956916402262
5.15,3.39,48,-0.253747237504701,-2.41553650505943,-39.8307729111995
5.15,3.39,48.5,-0.214220021479322,3.24781867514524,-33.6809219103182
5.15,3.39,49,-0.238991382498983,8.10887195867145,-33.8164295880468
5.15,3.39,49.5,-0.304077149363565,3.96140267997983,-32.9222343322116
5.15,3.39,50,-0.385606618436161,1.25049648323367,-22.7952153313506
5.15,3.39,50.5,-0.432540028115451,0.0491029465705744,-22.1980749527963
5.15,3.39,51,-0.326449132011241,-0.307808633259809,-18.8398322946846
5.15,3.39,51.5,-0.0967609106238516,-0.199089290744806,-10.8199106719672
5.15,3.39,52,-0.471829725939208,0.106346021953557,-15.1763950464889
5.15,3.39,52.5,-0.816454629661333,0.519933994276238,-25.6586350924025
5.15,3.39,53,-0.90003766385389,1.43494331659063,-13.6905648705043
5.15,3.39,53.5,-0.774099629253208,1.40869274509063,-9.9566584272252
5.15,3.39,54,-0.384690163613714,-0.148547732260332,-17.622518539374
5.15,3.39,54.5,0.214313419811538,-0.610719006090041,-19.9463091080563
5.15,3.39,55,-1.44009742889972,0.793234508534338,-19.4153663876867
5.15,3.39,55.5,-2.10377357615535,2.43273039205053,-10.3686944368026
5.15,3.39,56,-1.63079806868878,1.53287865417988,-21.2985575606471
5.15,3.39,56.5,-0.851441002747852,0.359728490943153,-29.59432353375
5.15,3.39,57,-0.220728883771758,-0.351671630942771,-32.6230554414086
5.15,3.39,57.5,-0.307918645216907,-0.718519399388856,-34.3556182263042
5.15,3.39,58,-0.241139486980615,-0.865243874785759,-36.6509639147486
5.15,3.39,58.5,-0.149507573558602,-0.873174770618184,-40.3230951876536
5.15,3.39,59,-0.105420785156465,-0.800481117221052,-42.6102198843617
5.15,3.39,59.5,-0.1341732258354,-0.695738388923422,-42.3876297512175
5.15,3.39,60,-0.242876469830858,-0.604222459868661,-41.9045527149369
5.15,3.52,13,-35.2473436656991,-29.3195661814706,-31.7592478202715
5.15,3.52,13.5,-52.251703819339,-30.4014694631006,-30.7254158158529
5.15,3.52,14,-29.4238677646873,-32.9201260047164,-30.2414351548941
5.15,3.52,14.5,-17.8644626013836,-33.0453918353924,-29.9020726743749
5.15,3.52,15,-7.68001647433602,-32.7054161246324,-29.5445767536047
5.15,3.52,15.5,-3.27266016207303,-32.552253071322,-29.2067713453801
5.15,3.52,16,-3.12105408712625,-18.6805157484621,-25.574045003377
5.15,3.52,16.5,-5.23332306156541,-4.78680486738697,-19.9157541008646
5.15,3.52,17,-7.77425013597946,-3.45206331353897,-14.3118776821264
5.15,3.52,17.5,-2.31041279007047,-33.3584711264371,-24.6571597762875
5.15,3.52,18,-0.694454254411071,-17.8016411474675,-14.6667375870107
5.15,3.52,18.5,1.92843089789731,-20.3333088421391,-20.177337693988
5.15,3.52,19,-1.68216308469704,-21.0849909650502,-32.9253400801349
5.15,3.52,19.5,-1.19329696058688,-19.6615388764326,-31.8092163111524
5.15,3.52,20,-0.748098160961117,-22.1449536281715,-19.5565582011265
5.15,3.52,20.5,-0.342280336407887,-29.4708492613888,-24.7469648957811
5.15,3.52,21,-1.35896941266113,-47.680112254473,-25.8940848906159
5.15,3.52,21.5,-0.590080209713221,-43.5220370920553,-28.1788934146093
5.15,3.52,22,-0.0999643421378304,-25.6964455347383,-21.2451296354627
5.15,3.52,22.5,-1.22070310297636,-15.1314221688599,-18.0308313606852
5.15,3.52,23,-0.640220983074498,-26.346515891916,-35.8066300532738
5.15,3.52,23.5,-0.143190185907258,-14.9310402071325,-38.7886983683387
5.15,3.52,24,-0.223781280681526,-14.9503364907404,-31.9211365417793
5.15,3.52,24.5,-0.209584256197392,-29.7482978474113,-22.6175207118612
5.15,3.52,25,-0.161907658142569,-40.7369729106175,-23.9225573184293
5.15,3.52,25.5,-0.11646749881556,-38.902121895755,-24.0438346485495
5.15,3.52,26,-0.212609700051678,-35.082975374799,-24.5685212491089
5.15,3.52,26.5,-0.185258169578667,-30.0735452194528,-25.5056234609188
5.15,3.52,27,-0.208965786262363,-33.3591697365067,-15.4031247378221
5.15,3.52,27.5,-0.18757813284898,-20.3650882900051,-30.7170974991517
5.15,3.52,28,-0.188477166153692,-24.5932737217335,-22.8069493204008
5.15,3.52,28.5,-0.239478502489734,-25.6331689183172,-30.6946508595689
5.15,3.52,29,-0.188778657408743,-23.1629761102279,-45.6961685430279
5.15,3.52,29.5,-0.149020438685202,-27.145863533228,-27.3016931383924
5.15,3.52,30,-0.173901289204838,-23.1992557248816,-22.7574054606854
5.15,3.52,30.5,-0.182969560301749,-11.5551685754163,-25.3695980991927
5.15,3.52,31,-0.186442024733852,-16.1445863334182,-12.7686246370966
5.15,3.52,31.5,-0.204583377408566,-30.7318407390895,-11.1685722189654
5.15,3.52,32,-0.202338839020888,-31.1409040765868,-1.27421380459253
5.15,3.52,32.5,-0.206365345563452,-29.16992233453,-18.4688170457525
5.15,3.52,33,-0.181290797064205,-27.4488976550201,-20.2529933347919
5.15,3.52,33.5,-0.189856308637394,-12.3773310301428,-35.3917494157744
5.15,3.52,34,-0.194402155447641,-17.8876085491944,-19.823198629664
5.15,3.52,34.5,-0.196828311947259,-17.6930356189456,-16.8801648860704
5.15,3.52,35,-0.197743579295795,-15.7469261870809,-17.6568801078287
5.15,3.52,35.5,-0.197685799368932,-12.7157170802992,-17.6457156519989
5.15,3.52,36,-0.197868713991475,-7.90936661917144,-2.0154822579046
5.15,3.52,36.5,-0.200421592399438,-0.343026619599427,-11.9237084062259
5.15,3.52,37,-0.201290307590247,-24.3269719298141,3.31266018653218
5.15,3.52,37.5,-0.203482636340452,-20.1543809516249,-5.49248595398578
5.15,3.52,38,-0.198689429995501,-12.6457161339379,-9.73300945097599
5.15,3.52,38.5,-0.194325896968318,-7.55811033029123,-10.7316022880188
5.15,3.52,39,-0.197956301222901,-3.13301066104345,-5.33298184729051
5.15,3.52,39.5,-0.210602946830928,-0.172935153087138,-12.8522870893978
5.15,3.52,40,-0.223781478818086,-0.322904556887141,-26.2564545365188
5.15,3.52,40.5,-0.230678188262425,-0.596489489054459,-37.0760243478505
5.15,3.52,41,-0.23131001829448,-0.22800638421992,-46.584653774831
5.15,3.52,41.5,-0.228250567431411,-0.0444891366370725,-41.988028305052
5.15,3.52,42,-0.223711449792447,-0.144497604003721,-38.8411174841196
5.15,3.52,42.5,-0.219072909379743,-0.380015474814131,-36.9742698715045
5.15,3.52,43,-0.21509924904052,-0.639878520583193,-35.6125258238351
5.15,3.52,43.5,-0.212166267187541,-0.87036745602781,-34.4717882662694
5.15,3.52,44,-0.21040611106374,-1.0500917396797,-33.4305337984644
5.15,3.52,44.5,-0.209793133017207,-1.17215887092146,-32.4284040825469
5.15,3.52,45,-0.21019745647258,-1.23536962620335,-31.4301842063607
5.15,3.52,45.5,-0.211422119231347,-1.24034836480725,-30.4108178873547
5.15,3.52,46,-0.213231870880595,-1.18804384558165,-29.3479978737417
5.15,3.52,46.5,-0.215377333414414,-1.07946251622704,-28.2173561176196
5.15,3.52,47,-0.217615911992249,-0.916310457059799,-26.9877868019398
5.15,3.52,47.5,-0.219729645159647,-0.702730884815031,-25.6147490911353
5.15,3.52,48,-0.221539638002589,-0.448704512137775,-24.0279289874621
5.15,3.52,48.5,-0.222916588193005,-0.175724863015739,-22.1042201311536
5.15,3.52,49,-0.223787049516342,0.0760174360413697,-19.596908872645
5.15,3.52,49.5,-0.22413536785801,0.244799719055467,-15.8935111422313
5.15,3.52,50,-0.224001572943884,0.263065874696737,-8.59510764049952
5.15,3.52,50.5,-0.223475839194993,0.101256602308069,-2.34403182343191
5.15,3.52,51,-0.222690403957992,-0.189909184738023,-15.2762130435774
5.15,3.52,51.5,-0.22181007831998,-0.494646352801193,-20.7727928175536
5.15,3.52,52,-0.221022845038178,-0.698402635488676,-24.0219126162385
5.15,3.52,52.5,-0.220532911328106,-0.738630623420961,-25.326586605994
5.15,3.52,53,-0.220561179744594,-0.614423798727257,-24.7768306784578
5.15,3.52,53.5,-0.221366764192857,-0.391472658187009,-23.0283605266577
5.15,3.52,54,-0.223337635510273,-0.276013910238929,-20.6739018820842
5.15,3.52,54.5,-0.227382273933813,-0.924036338115405,-18.0099522939166
5.15,3.52,55,-0.237534636259984,-4.24290129375847,-15.5061061692466
5.15,3.52,55.5,-0.355649741226884,-16.7489068473981,-14.7304961387937
5.15,3.52,56,-0.212366788292522,-11.0536283133896,-17.1072379406147
5.15,3.52,56.5,-0.219990843576234,-4.20074758822093,-22.030201973915
5.15,3.52,57,-0.225353697056026,-0.725039041052634,-32.741534834626
5.15,3.52,57.5,-0.229151023847122,1.79487444504086,-19.2958485682332
5.15,3.52,58,-0.231719746461474,3.62669326834312,-11.0138493847646
5.15,3.52,58.5,-0.232986319158341,4.28676335683898,-13.5933820232911
5.15,3.52,59,-0.232765537074318,3.42740117947077,-16.3273189375402
5.15,3.52,59.5,-0.230867873287488,1.61298753992576,-18.2023834420056
5.15,3.52,60,-0.227148328924675,-0.453192611233761,-19.5915345041319
5.5,3.39,13,-25.348594636044,-18.8087978936417,-28.2325632425381
5.5,3.39,13.5,-27.547521832231,-25.7537096526129,-32.9789770749479
5.5,3.39,14,-35.9077846960924,-31.0646733435535,-38.8024608483986
5.5,3.39,14.5,-21.7773176599052,-32.3397788144281,-43.3108898151348
5.5,3.39,15,-11.4739124113097,-32.7299742468669,-45.1682773436558
5.5,3.39,15.5,-5.88820873886362,-34.4937318260597,-39.4595920585973
5.5,3.39,16,-3.90217856458745,-37.8618359459716,-51.3260908382537
5.5,3.39,16.5,-3.09029850908763,-42.2400170753774,-61.8612485579307
5.5,3.39,17,-2.47739837045693,-42.3819632343227,-57.9279763857222
5.5,3.39,17.5,-1.93982507490341,-38.4524390378422,-52.3842176297375
5.5,3.39,18,-1.57129837717952,-33.8335423524597,-37.3680505738847
5.5,3.39,18.5,-1.07219187674211,-36.6384415358231,-36.5290920984169
5.5,3.39,19,-0.835422419166122,-35.6056166800078,-41.5529888556951
5.5,3.39,19.5,-0.660229464110928,-34.8673969939978,-43.7774125722868
5.5,3.39,20,-0.536194656728886,-34.9121119766987,-47.5267615905575
5.5,3.39,20.5,-0.447478157786506,-35.3438928791718,-60.5238848253029
5.5,3.39,21,-0.382631714621503,-35.6686387955647,-53.4469558814912
5.5,3.39,21.5,-0.334533700614357,-35.5608370144063,-49.0981423834469
5.5,3.39,22,-0.298887147757065,-35.1358470552341,-47.3798930727834
5.5,3.39,22.5,-0.272783136994825,-34.711421285124,-46.408277412513
5.5,3.39,23,-0.253799376580877,-34.6308880886199,-45.6694726364377
5.5,3.39,23.5,-0.239717568988413,-35.8242874207904,-44.8873858884767
5.5,3.39,24,-0.228762377079646,-39.8211779794607,-43.6249509825608
5.5,3.39,24.5,-0.220178849425017,-26.3643955891546,-39.8358237645364
5.5,3.39,25,0.507231709854321,-24.2171345510361,-26.4122430765903
5.5,3.39,25.5,-15.2472952549158,-33.4187611424202,-34.0028651132803
5.5,3.39,26,-0.465634159540165,-42.9467293375053,-27.2122183223287
5.5,3.39,26.5,-0.174219029628285,-39.0776866211739,-22.7434737426827
5.5,3.39,27,-0.188006490499996,-28.0815940803038,-43.2485042738312
5.5,3.39,27.5,-0.166925705697834,-24.5615185334996,-40.3897580898466
5.5,3.39,28,-0.264866594729077,-16.2585385076775,-31.7205325538658
5.5,3.39,28.5,-0.301069322222709,-33.1020034394482,-18.9011325524799
5.5,3.39,29,-0.196024133642202,-33.6935987968325,-21.7578006924715
5.5,3.39,29.5,-0.162413254088822,-25.1508373586319,-10.855459800265
5.5,3.39,30,-0.0690227796741032,-42.4375580639267,-36.927866730568
5.5,3.39,30.5,-0.139489170443997,-18.3017536564851,-20.2100650564986
5.5,3.39,31,-0.189411798037914,-27.6450420632489,-25.199445577629
5.5,3.39,31.5,-0.168885986045521,-38.3502201301046,-35.1578540812843
5.5,3.39,32,-0.200616924839667,-40.3891566606713,-14.015037690553
5.5,3.39,32.5,-0.190098351785014,-33.2529873352703,-26.4254694484876
