"Freq [GHz]","dB(S(2:1,1:1)) []","dB(S(1:2,2:2)) []","dB(S(1:3,2:3)) []"
12,-21.2649157913509,-73.9900099394319,-94.9058976883742
12.5,-18.660321687969,-73.284247197745,-94.3559489770729
13,-15.4911156910307,-72.5423781021567,-93.7801027080195
13.5,-11.2915040186716,-71.7632830622609,-93.1778823438882
14,-3.28344421332845,-70.9457096626825,-92.5488106926804
14.5,-0.0190097365560882,-70.0884230562197,-91.8921916751986
15,-0.0132971652081088,-69.1898142854704,-91.2076241390302
15.5,-0.0109235671268978,-68.2483073849142,-90.4943977912025
16,-0.00955977800552461,-67.2621022711301,-89.7518307405434
16.5,-0.00865717985664912,-66.2292039030625,-88.9791899211443
17,-0.0080100177970501,-65.1473934351868,-88.1756864732176
17.5,-0.00752149939882069,-64.014193493678,-87.3404705449244
18,-0.00713933317932992,-62.8268260529753,-86.4726254026825
18.5,-0.00683247568773645,-61.5821608804112,-85.5711607347858
19,-0.00658118717578448,-60.2766518165163,-84.6350050116834
19.5,-0.00637224055474986,-58.9062571683971,-83.6629967382255
20,-0.00619639879931454,-57.4663390667174,-82.6538743980791
20.5,-0.00604699175358837,-55.9515345398189,-81.6062648464104
21,-0.005919067388781,-54.3555879089375,-80.5186698511133
21.5,-0.00580886202168985,-52.6711292623247,-79.389450411624
22,-0.00571345681989846,-50.8893761046949,-78.2168083926386
22.5,-0.00563054792652561,-48.9997227886029,-76.9987648909101
23,-0.00555828857229521,-46.9891612440638,-75.7331345970808
23.5,-0.00549517835552522,-44.8414394269581,-74.4174952076108
24,-0.0054399843189516,-42.535795455285,-73.0491506649189
24.5,-0.00539168392172591,-40.0449716511429,-71.6250866287433
25,-0.00534942325303687,-37.331932499256,-70.1419160672019
25.5,-0.00531248582590348,-34.3440701337148,-68.5958121402853
26,-0.00528026857588917,-31.0020433392438,-66.982424537616
26.5,-0.0052522625933669,-27.1755201978977,-65.2967739806244
27,-0.00522803682836713,-22.6199686603611,-63.5331174781153
27.5,-0.00520722364249126,-16.7508349557871,-61.684773780785
28,-0.00518950787895056,-6.73058093481066,-59.7438939917847
28.5,-0.00517467363620948,-0.0400539221993206,-57.7011486168559
29,-0.00516245385126085,-0.0269571524843642,-55.5453079124742
29.5,-0.00515273617436181,-0.021778998798144,-53.2626611961161
30,-0.00514522786628492,-0.0188296893354623,-50.8361435412339
30.5,-0.00513963770959286,-0.0168727648988984,-48.2440657192416
31,-0.00513567669309238,-0.0154590614296998,-45.4581313378329
31.5,-0.00513307632930368,-0.0143807449637971,-42.4401993268296
32,-0.00513161061691795,-0.0135265153078105,-39.1366574236352
32.5,-0.00513111622856288,-0.0128305604630714,-35.4678127106238
33,-0.00513150660484971,-0.0122510637804458,-31.3055219122945
33.5,-0.00513277660990472,-0.0117599718352323,-26.4176044761517
34,-0.00513499590541775,-0.0113376654720301,-20.2862149822143
34.5,-0.00513829385419753,-0.0109699897943967,-10.9984251677219
35,-0.00514373784730653,-0.0106469844847892,-0.0766038149061916
35.5,-0.00514977729196584,-0.0103602836830022,-0.0463178078667396
36,-0.00515731213176654,-0.0101042056510234,-0.0360837177550374
36.5,-0.00516633450871838,-0.00987424527142367,-0.0304853624153065
37,-0.00517679606053529,-0.00966703717082183,-0.0268232436986681
37.5,-0.00519225752327239,-0.00948783765981798,-0.0244028581370825
38,-0.00520217647103847,-0.00931423161527302,-0.0222106710396633
38.5,-0.00521780656200583,-0.00916161786374527,-0.0205906948643562
39,-0.00523009682879242,-0.00902399607546625,-0.0192699537525002
39.5,-0.00524389326780129,-0.00889937938550816,-0.0181589866579775
40,-0.00525747323056727,-0.00878664038952998,-0.0172029474655991
