"L [mm]","Freq [GHz]","dB(S(1:1,2:1)) []","dB(S(1:2,2:2)) []","dB(S(1:3,2:3)) []"
16,10,-90.8015034024346,-240.804490586018,-348.843908163084
16,10.5,-85.9723275119729,-239.026338430677,-346.741651624357
16,11,-80.5974602535587,-237.14705609769,-345.084287356946
16,11.5,-74.5590020158546,-235.164233195577,-345.023171594506
16,12,-67.6795963675274,-233.075243078137,-357.327600079693
16,12.5,-59.6691400439885,-230.877229589179,-332.756348526382
16,13,-49.9869582535703,-228.567120768226,-317.024314224554
16,13.5,-37.355845219295,-226.14190463686,-300.871560261802
16,14,-15.8709248151775,-223.610226720857,-274.174008668862
16,14.5,-0.704285772407012,-220.926265980604,-264.97001035064
16,15,-0.483534448923525,-218.145347029206,-270.551420565686
16,15.5,-0.400254750878079,-215.202491615538,-298.062966693694
16,16,-0.354684688268699,-212.12790982708,-269.240180546009
16,16.5,-0.325625039771444,-208.916029062944,-262.589500675366
16,17,-0.30546691334682,-205.554377159956,-258.489533011272
16,17.5,-0.290726319805315,-202.032531522938,-255.458356907033
16,18,-0.279557360096298,-198.341972869598,-253.028153478389
16,18.5,-0.270880918445908,-194.473997345874,-250.988446979551
16,19,-0.26401958941516,-190.418385581145,-249.225648696637
16,19.5,-0.258524520131095,-186.162994386817,-247.671126246205
16,20,-0.25408538704696,-181.693686346758,-246.280086265152
16,20.5,-0.250480152168572,-176.994154349312,-245.021626591967
16,21,-0.247545386465452,-172.045497235134,-243.873528703431
16,21.5,-0.245157909629428,-166.825555226214,-242.819307946417
16,22,-0.243222983057447,-161.308011469734,-241.84642883163
16,22.5,-0.241666463990693,-155.461192080226,-240.945162338605
16,23,-0.24042944297275,-149.246406471953,-240.107814973262
16,23.5,-0.2394644878734,-142.615560116202,-239.328184044784
16,24,-0.238732956134688,-135.507593761252,-238.601162376158
16,24.5,-0.238203034606158,-127.842958099471,-237.922452709343
16,25,-0.237848285654231,-119.514614180956,-237.288381953527
16,25.5,-0.237646552332718,-110.37244172634,-236.695821530236
16,26,-0.237579122606128,-100.193956156458,-236.142234767062
16,26.5,-0.237630083385873,-88.6229029187188,-235.625899881723
16,27,-0.237785815614583,-75.0179314354806,-235.14651167822
16,27.5,-0.238034595516621,-57.9655568914145,-234.70795721965
16,28,-0.238366276702924,-32.4434308391361,-234.371659616835
16,28.5,-0.238772034523621,-1.65214491256828,-232.028051912683
16,29,-0.239244158745421,-1.00316360687675,-233.277310125906
16,29.5,-0.239775884406595,-0.795834074173414,-235.285611386536
16,30,-0.2403612524246,-0.686075526588743,-235.046386421769
16,30.5,-0.240994994434108,-0.616260950987058,-233.436273129663
16,31,-0.241672436845005,-0.567299765816495,-231.941608263905
16,31.5,-0.242389420395624,-0.530807951251341,-230.773231898971
16,32,-0.243142232447184,-0.502454823593347,-229.811031090639
16,32.5,-0.243927549784827,-0.47975064567472,-229.01132691024
16,33,-0.244742390002453,-0.461150393852256,-228.535082966799
16,33.5,-0.245584069904254,-0.445638588350946,-228.793985812645
16,34,-0.246450169759139,-0.432517170397274,-230.14105213253
16,34.5,-0.247338502581604,-0.42128867163694,-227.646949871709
16,35,-0.248247087740333,-0.411587920106145,-219.006945604729
16,35.5,-0.249174128151302,-0.403140135300951,-210.928834671116
16,36,-0.250117990302818,-0.39573415880008,-203.370905464912
16,36.5,-0.251077186589065,-0.389204762183945,-195.766722432019
16,37,-0.252050359779566,-0.383420608253018,-187.816111474045
16,37.5,-0.253036269618981,-0.378275849327331,-179.387952924186
16,38,-0.254033781337745,-0.373684133241595,-170.409210035866
16,38.5,-0.255041855528296,-0.369574243313719,-160.797919514309
16,39,-0.256059538837143,-0.365886870898182,-150.436948154633
16,39.5,-0.257085955364136,-0.362572188253938,-139.158916334615
16,40,-0.258120299101599,-0.359587997960189,-126.718633038612
16,40.5,-0.259161827678404,-0.356898304848354,-112.731911306688
16,41,-0.260209857100677,-0.354472201108537,-96.5292838507706
16,41.5,-0.261263756771096,-0.352282985673798,-76.7211335104822
16,42,-0.262322944389157,-0.350307461549324,-49.1417329109319
16,42.5,-0.263386881251749,-0.348525373751566,-3.25806833540173
16,43,-0.264455067914699,-0.3469189423437,-1.6169450214281
16,43.5,-0.265527042529925,-0.34547250043894,-1.23264954313721
16,44,-0.266602377094884,-0.344172186631646,-1.04185524310367
16,44.5,-0.267680676820348,-0.34300568513088,-0.923560246680509
16,45,-0.268761573565014,-0.34196201118145,-0.841545848444382
16,45.5,-0.269844724111861,-0.341031335076663,-0.780695598103116
16,46,-0.270929809722798,-0.340204832356612,-0.733439399417956
16,46.5,-0.272016533939083,-0.339474561618652,-0.695515642531785
16,47,-0.273104622060477,-0.338833356452572,-0.664318956719375
16,47.5,-0.274193821110311,-0.338274728525719,-0.6381562069413
16,48,-0.27528389628187,-0.337792788074627,-0.615873521204041
16,48.5,-0.276374625484955,-0.337382177772261,-0.596654089854594
16,49,-0.277465797618325,-0.337038012610854,-0.579901681902619
16,49.5,-0.278557215847368,-0.336755826826595,-0.565169603904371
16,50,-0.279648700713018,-0.336531530836821,-0.552115790618365
