"Freq [GHz]","dB(S(1:1,2:1)) []","dB(S(1:2,2:2)) []","dB(S(1:3,2:3)) []"
13,-29.1127062649714,-42.2958035957192,-50.9780988640257
13.5,-24.745679249729,-51.5418441280698,-49.1167092491582
14,-19.5575966263805,-43.217766123211,-47.5243523406599
14.5,-14.314502687257,-39.3910805526881,-47.5034981338334
15,-9.38293778368229,-37.4086236291779,-49.440754221499
15.5,-5.27084209855179,-36.1531898160289,-51.9782391391343
16,-2.66572139327924,-35.2455649556255,-54.1621709148414
16.5,-1.54736554386838,-34.5250438952737,-55.5716295192435
17,-1.17518532959096,-33.9129393956521,-55.9914062691734
17.5,-1.02100069494687,-33.3664605523302,-55.4941855759593
18,-0.901418858380894,-32.8603187216859,-54.3881874366232
18.5,-0.779474505914837,-32.3784696305423,-52.9722440186953
19,-0.658731997208747,-31.9100560471518,-51.4239437660332
19.5,-0.548579795278035,-31.4472695180055,-49.8249964387915
20,-0.455240464283777,-30.9841660734077,-48.2066012231388
20.5,-0.380743426286594,-30.5160018027263,-46.5777898115494
21,-0.324061157797402,-30.0388951426723,-44.9405813258409
21.5,-0.282520591909707,-29.5497550822665,-43.3007065898482
22,-0.252907432290598,-29.0465205387884,-41.6827814727053
22.5,-0.232156666624018,-28.5288966669108,-40.1652074242297
23,-0.217694635835715,-28.0000388532728,-38.9700793195422
23.5,-0.207542193261931,-27.4702294663931,-38.6675279581683
24,-0.20027926287686,-26.9650784988798,-40.4752917047238
24.5,-0.194944883956057,-26.5449274976954,-46.5614034083478
25,-0.190920327738546,-26.3555193741548,-44.3447053922041
25.5,-0.187821996706855,-26.7838513947992,-35.9357167316692
26,-0.185416313981768,-29.1197945495416,-29.6210234100989
26.5,-0.183559561321716,-44.8840254427493,-22.5694109791448
27,-0.182160214218534,-26.2525807861447,-25.7149475471684
27.5,-0.181158577649873,-20.2617303968811,-28.5832896050394
28,-0.18051757340665,-20.9220373716627,-20.6716538001796
28.5,-0.180218680451253,-28.65312392508,-19.8915457706665
29,-0.180257533121785,-6.77632343774797,-21.5073319246852
29.5,-0.180632903442418,-2.96708831132953,-22.8117399230634
30,-0.181313460257882,-5.98102003633703,-23.605529834968
30.5,-0.182093439185055,-3.35891897572348,-24.3766294586067
31,-0.181180190173503,-7.06857641091241,-30.6372051362542
31.5,-0.207210883751581,-30.7978785488647,-40.0583757852241
32,-0.207037665336096,-20.5463268861292,-33.3015557275821
32.5,-0.165695978746891,-18.2939782563684,-31.4689228384161
33,-0.185202256505519,-12.9151982109444,-27.6685288100078
33.5,-0.189786432685842,0.892863346293362,-19.7016486933066
34,-0.192317530719251,-4.29301405869271,-13.8676872686135
34.5,-0.193898570498694,-3.61888860806462,-14.8236030238829
35,-0.194897991409845,-0.642985983479169,-15.4379170386091
35.5,-0.195714957578651,5.26167357733114,-15.1334395947132
36,-0.196987166918225,7.22898286222378,-14.348949428494
36.5,-0.199705603459413,-0.315576411862775,-13.6389062495721
37,-0.211243634910952,-7.70085979168011,-17.1320299307522
37.5,-0.23629230035178,5.86860800850165,-14.3232825027394
38,-0.191647542567178,-8.57422773580971,-20.1903963397903
38.5,-0.209598289021292,-12.849888909079,-30.7478760994788
39,-0.235120708960652,-25.7629609678661,-30.5045516730235
39.5,-0.206587385190285,-6.49902976249407,-12.9130244268304
40,-0.203627513181967,-5.34747092499699,-29.9894997613811
40.5,-0.214920234309248,1.24455097588361,-24.9166481315969
41,-0.208495335633099,-8.76364358764881,-17.2218121657369
41.5,-0.210654574004496,-22.7340605470579,-31.0608923523566
42,-0.212768397851116,-10.5990770972621,-44.4928296761236
42.5,-0.230177225318703,-15.1864332104157,-45.5977848643283
43,-0.694385041414811,-2.89312330585305,-33.0803507966897
43.5,-0.134171819574769,-2.61853763630451,-34.9881840106281
44,-0.597815672829054,-6.05644300849276,-36.6279805331882
44.5,-0.241142031022044,-3.81608958864503,-17.0692142354445
45,-0.540044809870282,13.6700618559509,-7.01358854022324
45.5,-0.186455034446629,-12.7342448434176,-18.0464039294736
46,-0.324656198648929,-10.3414022459061,-27.0464612826443
46.5,-0.396649906238121,-1.6867089461561,-32.9104152660119
47,-0.0799261065371763,-4.54945013879966,-28.5631390143868
47.5,-0.675703416878003,-6.20387650630247,-23.4956916402262
48,-0.253747237504701,-2.41553650505943,-39.8307729111995
48.5,-0.214220021479322,3.24781867514524,-33.6809219103182
49,-0.238991382498983,8.10887195867145,-33.8164295880468
49.5,-0.304077149363565,3.96140267997983,-32.9222343322116
50,-0.385606618436161,1.25049648323367,-22.7952153313506
50.5,-0.432540028115451,0.0491029465705744,-22.1980749527963
51,-0.326449132011241,-0.307808633259809,-18.8398322946846
51.5,-0.0967609106238516,-0.199089290744806,-10.8199106719672
52,-0.471829725939208,0.106346021953557,-15.1763950464889
52.5,-0.816454629661333,0.519933994276238,-25.6586350924025
53,-0.90003766385389,1.43494331659063,-13.6905648705043
53.5,-0.774099629253208,1.40869274509063,-9.9566584272252
54,-0.384690163613714,-0.148547732260332,-17.622518539374
54.5,0.214313419811538,-0.610719006090041,-19.9463091080563
55,-1.44009742889972,0.793234508534338,-19.4153663876867
55.5,-2.10377357615535,2.43273039205053,-10.3686944368026
56,-1.63079806868878,1.53287865417988,-21.2985575606471
56.5,-0.851441002747852,0.359728490943153,-29.59432353375
57,-0.220728883771758,-0.351671630942771,-32.6230554414086
57.5,-0.307918645216907,-0.718519399388856,-34.3556182263042
58,-0.241139486980615,-0.865243874785759,-36.6509639147486
58.5,-0.149507573558602,-0.873174770618184,-40.3230951876536
59,-0.105420785156465,-0.800481117221052,-42.6102198843617
59.5,-0.1341732258354,-0.695738388923422,-42.3876297512175
60,-0.242876469830858,-0.604222459868661,-41.9045527149369
