"Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []"
12,153.017498255216,532.52742016152,682.608034948912
12.5,134.275356526187,527.448160888182,678.654819680765
13,111.47020326574,522.109044156916,674.515426417575
13.5,81.2500096542995,516.502015927756,670.18641759107
14,23.6199589126531,510.618254475694,665.664104570195
14.5,0.136785075331371,504.448080121008,660.944528990339
15,0.095682704307736,497.980849800181,656.023441864784
15.5,0.0786041506295547,491.204833302853,650.896280188454
16,0.0687913728330437,484.107067173549,645.558140691152
16.5,0.062296982665178,476.673181192359,640.003750334839
17,0.0576405263220768,468.887190910564,634.227433074636
17.5,0.0541255587962984,460.7312477886,628.223072313064
18,0.051375830522439,452.185335865487,621.984068367434
18.5,0.0491679755327217,443.226900287061,615.503290136398
19,0.047359957956497,433.830387993377,608.773019986849
19.5,0.0458565983191668,423.966673737891,601.784890678118
20,0.0445914230803155,413.602334327049,594.529812885802
20.5,0.0435164263062202,402.698718843106,586.997891567592
21,0.0425959664258335,391.210739884552,579.178329008733
21.5,0.0418029592821358,379.085275878386,571.059311868447
22,0.0411164117897589,366.259019209441,562.627878884773
22.5,0.0405197718444169,352.655514734641,553.869765033864
23,0.0399997933476781,338.180980954912,544.769216811377
23.5,0.0395457365166021,322.718238194996,535.308771810392
24,0.039148792395036,306.117573632211,525.468993772115
24.5,0.0388016608893314,288.182406463228,515.228151579892
25,0.0384982361703995,268.645590780757,504.561826955088
25.5,0.0382333685889934,247.127561705886,493.442430448655
26,0.0380026820480957,223.055677371632,481.838598023811
26.5,0.0378024321907277,195.488785312373,469.714430034884
27,0.0376293950477362,162.659536275033,457.028519042668
27.5,0.0374807787076695,120.335472072712,443.732689927746
28,0.037354152590521,47.787342060669,429.770340585056
28.5,0.0372473903269519,0.287254776854802,415.074216194986
29,0.0371586232569858,0.193738961615535,399.563360543127
29.5,0.0370862022935225,0.156605794799426,383.138837871309
30,0.0370286664307774,0.135441825363166,365.677557324267
30.5,0.0369847165731732,0.121397327399566,347.023054853258
31,0.0369531936556604,0.111247143883231,326.971167049609
31.5,0.0369330602493626,0.103498098177085,305.246633776412
32,0.0369233850161684,0.0973517479051597,281.462416452805
32.5,0.0369233295062278,0.0923374663107733,255.042935704342
33,0.0369321368931946,0.088157553083942,225.062061853886
33.5,0.0369491223207529,0.0846133059901523,189.839921796304
34,0.0369736645957604,0.081566372739467,145.621816776413
34.5,0.0370051990122269,0.0789170717969197,78.4392506966313
35,0.0370432111292344,0.0765915274598004,0.546482184323394
35.5,0.0370872313570445,0.0745336753763239,0.331944842599004
36,0.0371368302307106,0.0727000997508991,0.258808425201948
36.5,0.0371916142708083,0.0710565886415151,0.218704117911452
37,0.0372512223474048,0.0695757702365266,0.19243706123612
37.5,0.0373153224769036,0.0682354508852153,0.173509463954154
38,0.0373836089924783,0.067017421296195,0.159028027627115
38.5,0.0374558000379749,0.0659065826559,0.14748237939327
39,0.0375316353427412,0.0648902960651737,0.137996455434925
39.5,0.0376108742411501,0.0639578908525289,0.130022306045859
40,0.0376932939058659,0.0631002878650642,0.123197165549299
