"L [mm]","Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []"
16,10,653.369381541667,1732.72938904229,2700.9113820211
16,10.5,618.620676040083,1719.93461061621,2692.72844540969
16,11,579.945405054533,1706.41213204285,2684.11833903179
16,11.5,536.495212380009,1692.14459385006,2675.07704979891
16,12,486.993915504331,1677.11305644073,2665.60028643533
16,12.5,429.354053104938,1661.29684820497,2655.68347057637
16,13,359.685156644844,1644.67339059331,2645.32172629188
16,13.5,268.796991381415,1627.21799620132,2634.50986808761
16,14,114.200573820794,1608.903634992,2623.24238738974
16,14.5,5.06774127642984,1589.70066262588,2611.51343747975
16,15,3.47930861273237,1569.57650340638,2599.31681681496
16,15.5,2.8800635177465,1548.49527847468,2586.64595064172
16,16,2.5521609188909,1526.41736746513,2573.4938707814
16,16.5,2.34306022641457,1503.29888866336,2559.8531934429
16,17,2.19801109213753,1479.09107852201,2545.71609488788
16,17.5,2.09194421485303,1453.73954579156,2531.07428474568
16,18,2.01157729265265,1427.18336795201,2515.91897674297
16,18.5,1.94914546938137,1399.35398725223,2500.2408565773
16,19,1.89977442517616,1370.17384923743,2484.03004662354
16,19.5,1.86023440692557,1339.55470627639,2467.27606711583
16,20,1.82829245943117,1307.39547935422,2449.96779339476
16,20.5,1.80235089263499,1273.57952860605,2432.09340874777
16,21,1.78123374154846,1237.97111914755,2413.64035229904
16,21.5,1.76405465379267,1200.41077103044,2394.59526132064
16,22,1.7501319313418,1160.70902877791,2374.94390723815
16,22.5,1.73893207506215,1118.63793801222,2354.67112448586
16,23,1.73003119815703,1073.91910203872,2333.76073122822
16,23.5,1.72308799976711,1026.20647008324,2312.19544079711
16,24,1.71782442503789,975.06069567781,2289.95676249551
16,24.5,1.71401156061147,919.909378320352,2267.02489017779
16,25,1.71145917305851,859.982313407532,2243.37857672586
16,25.5,1.71000783095289,794.199307452554,2218.99499218644
16,26,1.70952289097395,720.959476144198,2193.84956290178
16,26.5,1.70988984982838,637.699408074851,2167.91578843267
16,27,1.71101071110312,539.804329964275,2141.16503241346
16,27.5,1.71280111603516,417.103785024532,2113.5662826561
16,28,1.71518805605464,233.461844019166,2085.08587478998
16,28.5,1.71810803319262,11.8884863157321,2055.68717242143
16,29,1.72150556871718,7.21837114464326,2025.33019513975
16,29.5,1.72533198503182,5.72648193250242,1993.97118356911
16,30,1.72954440385132,4.93669845739427,1961.56208791287
16,30.5,1.73410491691784,4.43434110797637,1928.04996283933
16,31,1.73897989539335,4.08203794909923,1893.37624681121
16,31.5,1.74413941148355,3.81945986747151,1857.47589762864
16,32,1.74955675148735,3.61544462825301,1820.27634740893
16,32.5,1.75520800377471,3.45207694234027,1781.69622854444
16,33,1.76107170853084,3.31823939508191,1741.64380599121
16,33.5,1.76712855868939,3.20662498728699,1700.01502846417
16,34,1.77336114350795,3.11221076707414,1656.69107853656
16,34.5,1.77975372783732,3.03141715905705,1611.53525418129
16,35,1.78629206140529,2.96161654211158,1564.38894374147
16,35.5,1.79296321344986,2.90083171615863,1515.06634903999
16,36,1.79975542884835,2.84754328015741,1463.34744402419
16,36.5,1.80665800254884,2.80056232530227,1408.96838778407
16,37,1.8136611696399,2.75894380839468,1351.60816534429
16,37.5,1.82075600883299,2.72192609918016,1290.86946232698
16,38,1.82793435748483,2.68888785084884,1226.25039817881
16,38.5,1.83518873658333,2.65931662366404,1157.10112220483
16,39,1.84251228436021,2.63278565955431,1082.55398265009
16,39.5,1.84989869739671,2.60893642116696,1001.40442105773
16,40,1.85734217825559,2.5874652797885,911.891902666424
16,40.5,1.86483738881259,2.56811323699496,811.253840889914
16,41,1.87237940857854,2.5506578967128,694.674455061023
16,41.5,1.87996369740243,2.53490712861732,552.158903966054
16,42,1.88758606202962,2.52069401800243,353.755585909676
16,42.5,1.89524262605945,2.50787280499595,23.4627836867051
16,43,1.90292980290843,2.49631559237532,11.6366753038236
16,43.5,1.91064427143576,2.48590965611931,8.87023118360016
16,44,1.91838295393107,2.47655523275561,7.49701338215217
16,44.5,1.92614299620491,2.46816368694456,6.64567219599932
16,45,1.93392174955126,2.46065598459171,6.05546537968231
16,45.5,1.94171675438267,2.45396141319826,5.61757761589081
16,46,1.94952572536037,2.44801650360753,5.27752380251168
16,46.5,1.95734653786476,2.44276411682569,5.0046307808621
16,47,1.96517721566764,2.43815266693887,4.78014860591067
16,47.5,1.97301591968572,2.43413545685373,4.59189173375479
16,48,1.98086093770671,2.43067010805667,4.43155598539379
16,48.5,1.988710674993,2.42771806910562,4.2932637424444
16,49,1.99656364567724,2.4252441903618,4.17272402242804
16,49.5,2.00441846487443,2.42321635469735,4.06672228004682
16,50,2.01227384144239,2.42160515570309,3.97279719536136
